Date,Year,Company,Ticker,industryKey,sectorKey,Close,Volume,Close_lag1,Volume_lag1
2005-12-31,2005,3M,MMM,conglomerates,industrials,35.844268798828125,2067406.0,,
2006-12-31,2006,3M,MMM,conglomerates,industrials,36.909847259521484,2184614.0,35.844268798828125,2067406.0
2007-12-31,2007,3M,MMM,conglomerates,industrials,40.873985290527344,2081877.0,36.909847259521484,2184614.0
2008-12-31,2008,3M,MMM,conglomerates,industrials,28.680500030517578,4790937.0,40.873985290527344,2081877.0
2009-12-31,2009,3M,MMM,conglomerates,industrials,42.600223541259766,2451561.0,28.680500030517578,4790937.0
2010-12-31,2010,3M,MMM,conglomerates,industrials,45.61153030395508,2142634.0,42.600223541259766,2451561.0
2011-12-31,2011,3M,MMM,conglomerates,industrials,44.317752838134766,2040974.0,45.61153030395508,2142634.0
2012-12-31,2012,3M,MMM,conglomerates,industrials,51.70415496826172,3086398.0,44.317752838134766,2040974.0
2013-12-31,2013,3M,MMM,conglomerates,industrials,79.85661315917969,2208414.0,51.70415496826172,3086398.0
2014-12-31,2014,3M,MMM,conglomerates,industrials,95.83084869384766,1941945.0,79.85661315917969,2208414.0
2015-12-31,2015,3M,MMM,conglomerates,industrials,90.1657943725586,1922092.0,95.83084869384766,1941945.0
2016-12-31,2016,3M,MMM,conglomerates,industrials,109.74684143066406,1906663.0,90.1657943725586,1922092.0
2017-12-31,2017,3M,MMM,conglomerates,industrials,148.0525665283203,1607304.0,109.74684143066406,1906663.0
2018-12-31,2018,3M,MMM,conglomerates,industrials,123.03302764892578,2158062.0,148.0525665283203,1607304.0
2019-12-31,2019,3M,MMM,conglomerates,industrials,117.75389099121094,1881906.0,123.03302764892578,2158062.0
2020-12-31,2020,3M,MMM,conglomerates,industrials,121.0100326538086,2202195.0,117.75389099121094,1881906.0
2021-12-31,2021,3M,MMM,conglomerates,industrials,126.87968444824219,1691862.0,121.0100326538086,2202195.0
2022-12-31,2022,3M,MMM,conglomerates,industrials,89.28986358642578,2506816.0,126.87968444824219,1691862.0
2023-12-31,2023,3M,MMM,conglomerates,industrials,86.31820678710938,2887622.0,89.28986358642578,2506816.0
2024-12-31,2024,3M,MMM,conglomerates,industrials,126.13197326660156,2220300.0,86.31820678710938,2887622.0
2025-12-31,2025,3M,MMM,conglomerates,industrials,160.45004272460938,1293600.0,126.13197326660156,2220300.0
2005-12-31,2005,A. O. Smith,AOS,specialty-industrial-machinery,industrials,4.210358142852783,702600.0,,
2006-12-31,2006,A. O. Smith,AOS,specialty-industrial-machinery,industrials,4.577589988708496,1148400.0,4.210358142852783,702600.0
2007-12-31,2007,A. O. Smith,AOS,specialty-industrial-machinery,industrials,4.346678256988525,853800.0,4.577589988708496,1148400.0
2008-12-31,2008,A. O. Smith,AOS,specialty-industrial-machinery,industrials,3.7455039024353027,1218000.0,4.346678256988525,853800.0
2009-12-31,2009,A. O. Smith,AOS,specialty-industrial-machinery,industrials,5.630588054656982,400200.0,3.7455039024353027,1218000.0
