Date,Year,Company,Ticker,industryKey,sectorKey,Close,Volume
2005-12-31,2005,3M,MMM,conglomerates,industrials,35.844261169433594,2067406.0
2006-12-31,2006,3M,MMM,conglomerates,industrials,36.90984344482422,2184614.0
2007-12-31,2007,3M,MMM,conglomerates,industrials,40.87397766113281,2081877.0
2008-12-31,2008,3M,MMM,conglomerates,industrials,28.68052101135254,4790937.0
2009-12-31,2009,3M,MMM,conglomerates,industrials,42.600215911865234,2451561.0
2010-12-31,2010,3M,MMM,conglomerates,industrials,45.61153411865234,2142634.0
2011-12-31,2011,3M,MMM,conglomerates,industrials,44.31775665283203,2040974.0
2012-12-31,2012,3M,MMM,conglomerates,industrials,51.70415878295898,3086398.0
2013-12-31,2013,3M,MMM,conglomerates,industrials,79.85658264160156,2208414.0
2014-12-31,2014,3M,MMM,conglomerates,industrials,95.8308563232422,1941945.0
2015-12-31,2015,3M,MMM,conglomerates,industrials,90.16576385498048,1922092.0
2016-12-31,2016,3M,MMM,conglomerates,industrials,109.74681854248048,1906663.0
2017-12-31,2017,3M,MMM,conglomerates,industrials,148.05258178710938,1607304.0
2018-12-31,2018,3M,MMM,conglomerates,industrials,123.03301239013672,2158062.0
2019-12-31,2019,3M,MMM,conglomerates,industrials,117.75389862060548,1881906.0
2020-12-31,2020,3M,MMM,conglomerates,industrials,121.01000213623048,2202195.0
2021-12-31,2021,3M,MMM,conglomerates,industrials,126.8796615600586,1691862.0
2022-12-31,2022,3M,MMM,conglomerates,industrials,89.28986358642578,2506816.0
2023-12-31,2023,3M,MMM,conglomerates,industrials,86.31820678710938,2887622.0
2024-12-31,2024,3M,MMM,conglomerates,industrials,126.13197326660156,2220300.0
2025-12-31,2025,3M,MMM,conglomerates,industrials,160.45004272460938,1293600.0
2005-12-31,2005,A. O. Smith,AOS,specialty-industrial-machinery,industrials,4.210358142852783,702600.0
2006-12-31,2006,A. O. Smith,AOS,specialty-industrial-machinery,industrials,4.577589988708496,1148400.0
2007-12-31,2007,A. O. Smith,AOS,specialty-industrial-machinery,industrials,4.346679210662842,853800.0
2008-12-31,2008,A. O. Smith,AOS,specialty-industrial-machinery,industrials,3.745504140853882,1218000.0
2009-12-31,2009,A. O. Smith,AOS,specialty-industrial-machinery,industrials,5.630590915679932,400200.0
2010-12-31,2010,A. O. Smith,AOS,specialty-industrial-machinery,industrials,7.530930519104004,844800.0
2011-12-31,2011,A. O. Smith,AOS,specialty-industrial-machinery,industrials,8.050541877746582,880800.0
2012-12-31,2012,A. O. Smith,AOS,specialty-industrial-machinery,industrials,12.841681480407717,1605600.0
2013-12-31,2013,A. O. Smith,AOS,specialty-industrial-machinery,industrials,22.21685028076172,841400.0
2014-12-31,2014,A. O. Smith,AOS,specialty-industrial-machinery,industrials,23.524290084838867,671200.0
2015-12-31,2015,A. O. Smith,AOS,specialty-industrial-machinery,industrials,32.31066131591797,889200.0
2016-12-31,2016,A. O. Smith,AOS,specialty-industrial-machinery,industrials,40.41191101074219,864100.0
2017-12-31,2017,A. O. Smith,AOS,specialty-industrial-machinery,industrials,52.85113525390625,614500.0
2018-12-31,2018,A. O. Smith,AOS,specialty-industrial-machinery,industrials,37.34000778198242,2769500.0
2019-12-31,2019,A. O. Smith,AOS,specialty-industrial-machinery,industrials,42.43652725219727,564700.0
2020-12-31,2020,A. O. Smith,AOS,specialty-industrial-machinery,industrials,49.8466682434082,728900.0
2021-12-31,2021,A. O. Smith,AOS,specialty-industrial-machinery,industrials,79.3948974609375,966600.0
2022-12-31,2022,A. O. Smith,AOS,specialty-industrial-machinery,industrials,53.929569244384766,592100.0
2023-12-31,2023,A. O. Smith,AOS,specialty-industrial-machinery,industrials,79.1024398803711,610900.0
2024-12-31,2024,A. O. Smith,AOS,specialty-industrial-machinery,industrials,66.50553894042969,792000.0
2025-12-31,2025,A. O. Smith,AOS,specialty-industrial-machinery,industrials,67.4067153930664,695200.0
2005-12-31,2005,Abbott Laboratories,ABT,medical-devices,healthcare,11.89363956451416,7251772.0
2006-12-31,2006,Abbott Laboratories,ABT,medical-devices,healthcare,15.08873176574707,8392247.0
2007-12-31,2007,Abbott Laboratories,ABT,medical-devices,healthcare,17.811229705810547,10434973.0
2008-12-31,2008,Abbott Laboratories,ABT,medical-devices,healthcare,17.3685302734375,11788454.0
2009-12-31,2009,Abbott Laboratories,ABT,medical-devices,healthcare,18.16385269165039,6238850.0
2010-12-31,2010,Abbott Laboratories,ABT,medical-devices,healthcare,16.661909103393555,11564402.0
2011-12-31,2011,Abbott Laboratories,ABT,medical-devices,healthcare,20.290239334106445,8582326.0
2012-12-31,2012,Abbott Laboratories,ABT,medical-devices,healthcare,24.408164978027344,19018133.0
2013-12-31,2013,Abbott Laboratories,ABT,medical-devices,healthcare,30.25554084777832,4594200.0
2014-12-31,2014,Abbott Laboratories,ABT,medical-devices,healthcare,36.33195877075195,3418600.0
2015-12-31,2015,Abbott Laboratories,ABT,medical-devices,healthcare,37.01200866699219,4192400.0
2016-12-31,2016,Abbott Laboratories,ABT,medical-devices,healthcare,32.45189666748047,10445600.0
2017-12-31,2017,Abbott Laboratories,ABT,medical-devices,healthcare,49.33603286743164,3995200.0
2018-12-31,2018,Abbott Laboratories,ABT,medical-devices,healthcare,63.67398071289063,6094300.0
2019-12-31,2019,Abbott Laboratories,ABT,medical-devices,healthcare,77.73332977294922,3261100.0
2020-12-31,2020,Abbott Laboratories,ABT,medical-devices,healthcare,99.5303192138672,2982200.0
2021-12-31,2021,Abbott Laboratories,ABT,medical-devices,healthcare,129.91525268554688,3271800.0
2022-12-31,2022,Abbott Laboratories,ABT,medical-devices,healthcare,103.04633331298828,3471000.0
2023-12-31,2023,Abbott Laboratories,ABT,medical-devices,healthcare,105.37580871582033,3550200.0
2024-12-31,2024,Abbott Laboratories,ABT,medical-devices,healthcare,110.44713592529295,3519900.0
2025-12-31,2025,Abbott Laboratories,ABT,medical-devices,healthcare,125.14607238769533,5271100.0
2013-12-31,2013,AbbVie,ABBV,drug-manufacturers-general,healthcare,32.419368743896484,3019700.0
2014-12-31,2014,AbbVie,ABBV,drug-manufacturers-general,healthcare,41.47029495239258,3917300.0
2015-12-31,2015,AbbVie,ABBV,drug-manufacturers-general,healthcare,38.77442932128906,6104800.0
2016-12-31,2016,AbbVie,ABBV,drug-manufacturers-general,healthcare,42.571197509765625,5999200.0
2017-12-31,2017,AbbVie,ABBV,drug-manufacturers-general,healthcare,68.14581298828125,3214400.0
2018-12-31,2018,AbbVie,ABBV,drug-manufacturers-general,healthcare,67.4940185546875,5722100.0
2019-12-31,2019,AbbVie,ABBV,drug-manufacturers-general,healthcare,68.48493194580078,4702100.0
2020-12-31,2020,AbbVie,ABBV,drug-manufacturers-general,healthcare,87.4677734375,6148100.0
2021-12-31,2021,AbbVie,ABBV,drug-manufacturers-general,healthcare,115.83009338378906,3963400.0
2022-12-31,2022,AbbVie,ABBV,drug-manufacturers-general,healthcare,143.6382598876953,3680400.0
2023-12-31,2023,AbbVie,ABBV,drug-manufacturers-general,healthcare,143.30093383789062,3712000.0
2024-12-31,2024,AbbVie,ABBV,drug-manufacturers-general,healthcare,170.32611083984375,3326400.0
2025-12-31,2025,AbbVie,ABBV,drug-manufacturers-general,healthcare,227.9063262939453,2348000.0
2005-12-31,2005,Accenture,ACN,information-technology-services,technology,20.423555374145508,1434400.0
2006-12-31,2006,Accenture,ACN,information-technology-services,technology,26.41545295715332,2087400.0
2007-12-31,2007,Accenture,ACN,information-technology-services,technology,26.043258666992188,2664900.0
2008-12-31,2008,Accenture,ACN,information-technology-services,technology,24.078481674194336,3026300.0
2009-12-31,2009,Accenture,ACN,information-technology-services,technology,31.065486907958984,2001000.0
2010-12-31,2010,Accenture,ACN,information-technology-services,technology,36.98047256469727,1868500.0
2011-12-31,2011,Accenture,ACN,information-technology-services,technology,41.41545486450195,2332800.0
2012-12-31,2012,Accenture,ACN,information-technology-services,technology,52.907901763916016,4083200.0
2013-12-31,2013,Accenture,ACN,information-technology-services,technology,66.99400329589844,2113800.0
2014-12-31,2014,Accenture,ACN,information-technology-services,technology,74.64543151855469,1754500.0
2015-12-31,2015,Accenture,ACN,information-technology-services,technology,89.22386169433594,1987700.0
2016-12-31,2016,Accenture,ACN,information-technology-services,technology,102.02902221679688,1739500.0
2017-12-31,2017,Accenture,ACN,information-technology-services,technology,136.04132080078125,1452100.0
2018-12-31,2018,Accenture,ACN,information-technology-services,technology,127.5677261352539,1826400.0
2019-12-31,2019,Accenture,ACN,information-technology-services,technology,192.8997802734375,1371000.0
2020-12-31,2020,Accenture,ACN,information-technology-services,technology,243.13162231445312,1325300.0
2021-12-31,2021,Accenture,ACN,information-technology-services,technology,390.6283874511719,1163200.0
2022-12-31,2022,Accenture,ACN,information-technology-services,technology,254.87225341796875,1339500.0
2023-12-31,2023,Accenture,ACN,information-technology-services,technology,340.49688720703125,1233500.0
2024-12-31,2024,Accenture,ACN,information-technology-services,technology,346.838134765625,1748600.0
2025-12-31,2025,Accenture,ACN,information-technology-services,technology,270.0,1784800.0
2005-12-31,2005,Adobe Inc.,ADBE,software-application,technology,36.959999084472656,3348200.0
2006-12-31,2006,Adobe Inc.,ADBE,software-application,technology,41.119998931884766,2687200.0
2007-12-31,2007,Adobe Inc.,ADBE,software-application,technology,42.72999954223633,3416700.0
2008-12-31,2008,Adobe Inc.,ADBE,software-application,technology,21.290000915527344,4067000.0
2009-12-31,2009,Adobe Inc.,ADBE,software-application,technology,36.77999877929688,2900400.0
