Date,Month,Quarter,Year,Company,Ticker,industryKey,sectorKey,Close,Volume_accum
2018-10-31,10,4,2018,Upwork,UPWK,internet-content-information,communication-services,19.200000762939453,20473000.0
2018-11-30,11,4,2018,Upwork,UPWK,internet-content-information,communication-services,18.6299991607666,8983700.0
2018-12-31,12,4,2018,Upwork,UPWK,internet-content-information,communication-services,18.110000610351562,12805800.0
2019-01-31,1,1,2019,Upwork,UPWK,internet-content-information,communication-services,19.309999465942383,4160200.0
2019-02-28,2,1,2019,Upwork,UPWK,internet-content-information,communication-services,23.690000534057617,8615100.0
2019-03-31,3,1,2019,Upwork,UPWK,internet-content-information,communication-services,19.139999389648438,8421600.0
2019-04-30,4,2,2019,Upwork,UPWK,internet-content-information,communication-services,19.989999771118164,23807400.0
2019-05-31,5,2,2019,Upwork,UPWK,internet-content-information,communication-services,14.979999542236328,30752600.0
2019-06-30,6,2,2019,Upwork,UPWK,internet-content-information,communication-services,16.079999923706055,30178800.0
2019-07-31,7,3,2019,Upwork,UPWK,internet-content-information,communication-services,16.440000534057617,15577000.0
2019-08-31,8,3,2019,Upwork,UPWK,internet-content-information,communication-services,14.460000038146973,20910500.0
2019-09-30,9,3,2019,Upwork,UPWK,internet-content-information,communication-services,13.3100004196167,23505100.0
2019-10-31,10,4,2019,Upwork,UPWK,internet-content-information,communication-services,15.039999961853027,18960000.0
2019-11-30,11,4,2019,Upwork,UPWK,internet-content-information,communication-services,11.649999618530273,25777200.0
2019-12-31,12,4,2019,Upwork,UPWK,internet-content-information,communication-services,10.670000076293945,27678700.0
2020-01-31,1,1,2020,Upwork,UPWK,internet-content-information,communication-services,9.180000305175781,36455100.0
2020-02-29,2,1,2020,Upwork,UPWK,internet-content-information,communication-services,8.65999984741211,33216200.0
2020-03-31,3,1,2020,Upwork,UPWK,internet-content-information,communication-services,6.449999809265137,53722300.0
2020-04-30,4,2,2020,Upwork,UPWK,internet-content-information,communication-services,8.329999923706055,25747700.0
2020-05-31,5,2,2020,Upwork,UPWK,internet-content-information,communication-services,12.4399995803833,72506700.0
2020-06-30,6,2,2020,Upwork,UPWK,internet-content-information,communication-services,14.4399995803833,70598000.0
2020-07-31,7,3,2020,Upwork,UPWK,internet-content-information,communication-services,15.020000457763672,51263900.0
2020-08-31,8,3,2020,Upwork,UPWK,internet-content-information,communication-services,15.229999542236328,62296900.0
2020-09-30,9,3,2020,Upwork,UPWK,internet-content-information,communication-services,17.440000534057617,45266500.0
2020-10-31,10,4,2020,Upwork,UPWK,internet-content-information,communication-services,18.450000762939453,39249100.0
2020-11-30,11,4,2020,Upwork,UPWK,internet-content-information,communication-services,32.720001220703125,76534900.0
2020-12-31,12,4,2020,Upwork,UPWK,internet-content-information,communication-services,34.52000045776367,42542200.0
2021-01-31,1,1,2021,Upwork,UPWK,internet-content-information,communication-services,41.45000076293945,37924600.0
2021-02-28,2,1,2021,Upwork,UPWK,internet-content-information,communication-services,53.880001068115234,52985100.0
2021-03-31,3,1,2021,Upwork,UPWK,internet-content-information,communication-services,44.77000045776367,42038400.0
2021-04-30,4,2,2021,Upwork,UPWK,internet-content-information,communication-services,46.060001373291016,25178800.0
2021-05-31,5,2,2021,Upwork,UPWK,internet-content-information,communication-services,47.06999969482422,35034300.0
2021-06-30,6,2,2021,Upwork,UPWK,internet-content-information,communication-services,58.290000915527344,38223000.0
2021-07-31,7,3,2021,Upwork,UPWK,internet-content-information,communication-services,51.790000915527344,44701100.0
2021-08-31,8,3,2021,Upwork,UPWK,internet-content-information,communication-services,44.709999084472656,34846100.0
2021-09-30,9,3,2021,Upwork,UPWK,internet-content-information,communication-services,45.029998779296875,28330800.0
2021-10-31,10,4,2021,Upwork,UPWK,internet-content-information,communication-services,47.119998931884766,36810300.0
